Discovered hosts
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
192.168.3.83.novalocal,503.0,215.72000000000003,42.89%,501.14,99.63%,203.33999999999997,40.43%,235.24,46.77%
192.168.3.84.novalocal,503.0,8.20999999999998,1.63%,192.39999999999998,38.25%,7.519999999999982,1.50%,109.94,21.86%
192.168.3.85.novalocal,503.0,7.680000000000007,1.53%,79.75999999999999,15.86%,7.6200000000000045,1.51%,44.41,8.83%
192.168.3.86.novalocal,503.0,17.730000000000018,3.52%,92.01999999999998,18.29%,17.689999999999998,3.52%,55.13,10.96%
192.168.3.87.novalocal,503.0,94.32,18.75%,95.25999999999999,18.94%,11.240000000000009,2.23%,82.01,16.30%
192.168.3.88.novalocal,503.0,38.829999999999984,7.72%,38.97000000000003,7.75%,37.589999999999975,7.47%,38.37,7.63%
192.168.3.89.novalocal,503.0,57.49000000000001,11.43%,107.5,21.37%,47.79000000000002,9.50%,57.71,11.47%
192.168.3.90.novalocal,503.0,49.00999999999999,9.74%,73.89999999999998,14.69%,44.14999999999998,8.78%,46.97,9.34%
192.168.3.91.novalocal,503.0,30.25,6.01%,56.639999999999986,11.26%,27.100000000000023,5.39%,29.43,5.85%
192.168.3.92.novalocal,503.0,11.54000000000002,2.29%,12.149999999999977,2.42%,9.279999999999973,1.84%,11.56,2.30%
192.168.3.93.novalocal,503.0,19.399999999999977,3.86%,20.410000000000025,4.06%,18.0,3.58%,19.62,3.90%
192.168.3.94.novalocal,503.0,18.339999999999975,3.65%,18.49000000000001,3.68%,15.649999999999977,3.11%,17.88,3.55%
192.168.3.95.novalocal,503.0,16.660000000000025,3.31%,17.149999999999977,3.41%,14.04000000000002,2.79%,16.03,3.19%
192.168.3.96.novalocal,503.0,15.970000000000027,3.17%,17.00999999999999,3.38%,13.889999999999986,2.76%,15.85,3.15%
192.168.3.97.novalocal,503.0,12.439999999999998,2.47%,12.79000000000002,2.54%,12.370000000000005,2.46%,12.58,2.50%
192.168.3.98.novalocal,503.0,10.730000000000018,2.13%,10.740000000000009,2.14%,10.730000000000018,2.13%,10.74,2.14%
192.168.3.99.novalocal,503.0,41.23000000000002,8.20%,42.19999999999999,8.39%,35.77999999999997,7.11%,41.17,8.18%
 
nic,in_max,in_min,in_avg,out_max,out_min,out_avg
192.168.3.10.novalocal
bond0,40096.83,11.34,1047.7594822793574,72796.82,36.56,1939.5222855157997
 
192.168.3.100.novalocal
bond0,50747.0,27.2,7198.147149305545,52318.82,29.32,8971.176312499978
 
192.168.3.101.novalocal
bond0,36484.57,15.47,1195.8589479166649,39435.2,16.55,1289.5601770833325
 
192.168.3.102.novalocal
bond0,37927.65,10.05,953.9603055555531,41164.02,10.81,1027.6614578271417
 
192.168.3.103.novalocal
bond0,555653.37,50.99,15837.345937499998,463850.86,47.91,14414.956822916653
 
192.168.3.104.novalocal
bond0,838051.06,12.58,6766.1669236111375,29403.81,10.66,3471.1588194444544
 
192.168.3.105.novalocal
bond0,7924.23,97.34,356.3328630993744,52359.14,168.38,2206.313442167414
 
192.168.3.106.novalocal
bond0,8915.83,366.04,1785.7860667129896,5977.45,140.23,245.85324183460725
 
192.168.3.107.novalocal
bond0,8031.0,31.84,110.5735416666666,46718.27,13.84,220.77009722222283
 
192.168.3.108.novalocal
bond0,170.59,13.48,16.93074279763973,202.17,9.88,10.915907670947599
 
192.168.3.109.novalocal
bond0,14.82,2.3,4.220586601874352,18.19,2.48,3.2442693509198346
 
192.168.3.11.novalocal
bond0,68318.84,9.94,1781.389913194439,1914.89,32.77,111.3757708333334
 
192.168.3.110.novalocal
bond0,3948.18,3.45,7.968871527777779,264.73,4.8,8.552920138888904
 
192.168.3.111.novalocal
bond0,50.34,37.27,41.344442514762115,124.56,94.16,100.55915595692962
 
192.168.3.112.novalocal
bond0,4263.43,44.43,50.27984722222232,102.63,18.83,21.916163194444373
 
192.168.3.113.novalocal
bond0,4592.44,51.27,58.52600833044065,117.19,22.02,24.523700104130466
 
192.168.3.114.novalocal
bond0,6923.54,2.25,2068.375171815337,476.05,2.63,55.86479347448823
 
192.168.3.115.novalocal
bond0,6137.84,2.27,1904.6049843804174,171.36,2.82,53.441839639014304
 
192.168.3.116.novalocal
bond0,3283.47,204.91,241.66548420687297,3462.99,20.74,48.73525164873326
 
192.168.3.117.novalocal
bond0,9031.9,22.73,406.1881742450532,8561.59,109.94,488.9388615064206
 
192.168.3.118.novalocal
bond0,8501.45,22.91,398.3563589031584,9088.97,111.4,490.16712599791725
 
192.168.3.119.novalocal
bond0,50407.19,1355.8,10072.416622700443,65199.26,1805.17,12149.115078097866
 
192.168.3.12.novalocal
bond0,40337.52,55.46,7803.110878472207,485284.95,119.63,23831.513878472248
 
192.168.3.120.novalocal
bond0,23339.15,3.38,69.68135716765026,330.17,3.85,12.019468934397768
 
192.168.3.121.novalocal
bond0,822.35,9.52,20.25892361111113,176.91,20.38,37.074486111111135
 
192.168.3.122.novalocal
bond0,801.84,2.32,5.287990281152374,17.5,2.66,3.2803297466157626
 
192.168.3.123.novalocal
bond0,648.91,573.63,589.8245381944432,912.19,769.99,787.5753557792401
 
192.168.3.124.novalocal
bond0,704.73,522.66,574.3085144047204,954.53,703.67,775.3442971190545
 
192.168.3.125.novalocal
bond0,52.26,2.68,5.908927455744525,79.17,4.53,6.602235334953134
 
192.168.3.126.novalocal
bond0,13.46,2.32,4.227289135716762,16.7,2.7,3.2522943422422848
 
192.168.3.127.novalocal
bond0,14.73,2.27,4.223044081916001,13.55,2.74,3.246945505032985
 
192.168.3.128.novalocal
bond0,13.31,2.3,4.227448802499129,13.2,2.73,3.2511141964595813
 
192.168.3.129.novalocal
bond0,129.93,2.95,4.906710663424782,974.36,24.01,33.28849253212927
 
192.168.3.13.novalocal
bond0,67799.25,32.64,7954.5903160819635,2061.97,69.93,387.1379159430354
 
192.168.3.14.novalocal
bond0,40558.34,33.24,7215.886128472231,73591.97,75.43,2212.501857638884
 
192.168.3.15.novalocal
bond0,67968.42,36.57,5041.973650573141,608467.66,87.44,15372.039253212928
 
192.168.3.16.novalocal
bond0,40519.65,30.03,7128.953923611117,73504.96,74.97,2206.2674826388898
 
192.168.3.17.novalocal
bond0,67702.88,33.74,7871.972716220914,1939.83,73.46,386.63017367141396
 
